pm25,pm10,o3,no2,so2
6.79,13.46,18.31,7.7,22.0
6.83,19.51,12.13,7.91,41.08
7.83,26.9,8.21,6.97,53.19
8.47,30.1,8.62,6.98,57.53
8.1,30.64,8.88,7.12,55.8
8.27,27.29,8.41,6.93,55.09
8.89,23.87,9.24,7.18,50.41
8.65,28.57,10.52,7.15,49.94
8.2,33.13,9.78,6.76,17.5
14.15,33.03,7.24,6.93,17.46
16.03,36.94,6.98,7.06,15.48
12.97,38.38,19.56,6.86,13.32
10.88,39.41,19.5,6.97,6.78
10.28,37.33,7.07,7.03,4.34
10.02,32.36,9.53,6.78,13.62
8.49,34.03,5.88,7.04,17.84
6.58,33.99,1.81,6.79,15.66
6.67,28.06,14.05,6.8,14.33
6.78,23.7,19.43,6.95,6.3
7.0,25.92,8.1,6.93,5.69
7.26,23.89,10.85,6.61,14.73
7.54,20.3,12.74,6.56,19.76
6.97,25.81,9.37,6.37,23.2
5.81,41.45,29.82,6.37,23.91
4.91,44.86,15.0,6.59,10.93
4.38,38.81,16.96,6.84,5.81
8.54,39.85,9.45,6.5,14.14
9.6,44.25,2.97,6.67,18.59
7.32,46.99,14.86,6.56,20.21
6.52,42.91,12.75,6.61,20.03
5.79,40.77,14.6,6.9,7.21
5.31,38.14,8.77,6.91,5.49
4.68,34.58,10.66,6.72,19.3
4.3,33.62,3.8,6.74,20.3
5.48,31.45,2.24,6.66,20.0
6.24,27.14,10.46,6.62,18.95
6.07,25.9,18.21,6.87,7.87
5.72,24.35,7.82,6.93,6.39
12.93,22.07,9.26,6.59,15.93
15.37,19.7,9.78,6.71,22.26
11.19,17.56,14.87,6.75,22.58
8.08,15.78,17.32,6.89,21.83
7.62,11.79,21.07,7.05,12.48
7.93,10.47,22.69,7.4,11.28
7.77,9.59,10.21,6.81,17.14
8.12,9.14,5.14,6.88,21.83
7.89,10.71,40.95,6.73,24.9
7.43,11.12,14.12,6.63,26.48
7.97,9.55,18.75,6.86,13.92
8.19,7.38,21.02,6.99,10.7
15.91,9.93,11.83,6.85,16.76
19.13,11.9,0.95,6.8,21.14
